FACTS;MARKETS;CATEGORY;MANUFACTURERS;MAR_2017;APR_2017;MAY_2017;JUN_2017;JUL_2017;AUG_2017;SEP_2017;OCT_2017;NOV_2017;DEC_2017;JAN_2018;FEB_2018
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CEREALES LISTOS;T. CEREALES LISTOS;1127.4;1071.5;1064;1067.4;1089.6;1068.1;1031;1058;973.9;918.6;967.8;1035
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CEREALES LISTOS;T. KELLOGG'S;571.6;539.4;540;548.1;556.6;570.1;536.8;549.6;494.5;484.3;500.3;515.2
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CEREALES LISTOS;T. NESTLE S.A;103.9;102.4;100.3;90.7;109.3;93.6;94;92.9;80.7;76.3;91.7;89.9
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CEREALES LISTOS;T. PROD QUAKER;13.5;14.1;14;16.5;15.2;14;13.4;13.3;12.9;10.8;10.9;11.5
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CEREALES LISTOS;T. NUTRESA;21.5;23.3;25;24.5;24.6;23.6;23.8;22.5;21.5;18.1;18.8;21.8
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CEREALES LISTOS;OTROS FABRICANTES;416.8;392.4;384.7;387.6;383.9;366.7;362.9;379.6;364.4;329;346.1;396.6
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CEREALES LISTOS;T. CEREALES LISTOS;184.1;172;169.3;178.2;189.4;187.3;180.8;182.1;170;159.7;179.4;185
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CEREALES LISTOS;T. KELLOGG'S;99.8;90.8;91.6;97.2;102.2;104.3;97.3;97.1;88.1;85.8;94.4;93.8
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CEREALES LISTOS;T. NESTLE S.A;17.1;17.1;14.9;14.1;18.8;15;16.7;16.5;13.6;13.1;17.4;15.2
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CEREALES LISTOS;T. PROD QUAKER;1.6;1.7;1.7;2.1;2;2.4;2.5;2.5;2;2;2.1;2
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CEREALES LISTOS;T. NUTRESA;2.1;2.2;2.4;2.5;2.9;2.6;2.6;2.3;2.2;2;2.1;2.2
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CEREALES LISTOS;OTROS FABRICANTES;63.5;60.2;58.9;62.4;63.4;63;61.7;63.7;64.1;56.9;63.4;71.8
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CEREALES LISTOS;T. CEREALES LISTOS;136.4;130.3;125.9;122.1;113.5;101.8;98.5;101.4;93.7;92.4;91.9;101.3
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CEREALES LISTOS;T. KELLOGG'S;68.9;65.2;61.9;61.3;59.5;58.4;53.1;54.8;49.7;49.4;50.2;52.9
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CEREALES LISTOS;T. NESTLE S.A;10.9;11.9;11.7;10.3;11.1;9.4;8.6;8.5;7.4;7;8.1;8.5
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CEREALES LISTOS;T. PROD QUAKER;2.7;2.7;2.3;3.1;2.1;1.8;1.5;2.1;2.2;2.1;1.6;1.6
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CEREALES LISTOS;T. NUTRESA;1.5;2;2.2;1.8;1.7;1.7;1.7;1.6;1.5;1.3;1.4;1.5
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CEREALES LISTOS;OTROS FABRICANTES;52.3;48.6;47.8;45.6;39.1;30.5;33.6;34.4;32.9;32.7;30.6;36.8
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CEREALES LISTOS;T. CEREALES LISTOS;360.1;341.6;350.2;344.2;348.1;349.4;339.6;350.3;317.7;296.8;312.9;337
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CEREALES LISTOS;T. KELLOGG'S;192.9;181.8;187.5;186.5;184.8;190.7;182.1;189.4;165.1;160.2;161.9;169.3
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CEREALES LISTOS;T. NESTLE S.A;35.7;34.8;35.6;30.6;37;32.5;32.3;32.6;28.8;25.6;30.9;31.7
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CEREALES LISTOS;T. PROD QUAKER;5;5.2;5.2;5.5;5.1;5;5;4.7;5.2;3.8;4.5;4.6
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CEREALES LISTOS;T. NUTRESA;8.6;9.1;10;9.9;9.6;9.5;9.9;9.4;8.9;6.9;7.1;8.9
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CEREALES LISTOS;OTROS FABRICANTES;117.9;110.7;112;111.8;111.6;111.6;110.4;114.2;109.9;100.4;108.5;122.5
